iteration,timestamp,state_id,parent_id,operation,params,cost,score,file_ideality_score,entropy_global,lz77_ratio
38,2025-11-06T01:31:33.218392,f990eb4e073fe06d...,0331c40ed68fb8aa...,not_bytes,{},1.5,-0.3800000000000001,0.0,0.0,0.0
39,2025-11-06T01:31:33.229389,549a0382f941af16...,f990eb4e073fe06d...,rotate_right,{'shift': 1},3.0,-1.5,0.0,0.0,0.0
40,2025-11-06T01:31:33.236385,d3f2f4e0c671c969...,549a0382f941af16...,swap_nibbles,{},3.5700000000000007,-0.5700000000000007,0.0,0.0,0.0
41,2025-11-06T01:31:33.242382,1c50bdb4be27ff4c...,d3f2f4e0c671c969...,xor_constant,{'constant': 76},1.7850000000000004,1.7850000000000004,0.0,0.0,0.0
42,2025-11-06T01:31:33.249379,f99ea22e61d1814d...,1c50bdb4be27ff4c...,not_bytes,{},1.6,0.18500000000000028,0.0,0.0,0.0
43,2025-11-06T01:31:33.256376,dadcf4cf4c10fa1a...,f99ea22e61d1814d...,swap_nibbles,{},3.7800000000000002,-2.18,0.0,0.0,0.0
44,2025-11-06T01:31:33.264372,1038c756e152bb98...,dadcf4cf4c10fa1a...,rotate_right,{'shift': 5},3.3075000000000006,0.4724999999999997,0.0,0.0,0.0
45,2025-11-06T01:31:33.274365,58259f94838c0ffd...,1038c756e152bb98...,not_bytes,{},1.7000000000000002,1.6075000000000004,0.0,0.0,0.0
46,2025-11-06T01:31:33.284362,a4da5a43182f72ce...,58259f94838c0ffd...,xor_constant,{'constant': 222},1.8,-0.09999999999999987,0.0,0.0,0.0
47,2025-11-06T01:31:33.294358,67d7e7e725d854f5...,a4da5a43182f72ce...,rotate_left,{'shift': 6},2.8350000000000004,-1.0350000000000004,0.0,0.0,0.0
48,2025-11-06T01:31:33.301353,fb130956be0ed0d4...,67d7e7e725d854f5...,rotate_right,{'shift': 5},3.3000000000000003,-0.46499999999999986,0.0,0.0,0.0
49,2025-11-06T01:31:33.308349,8b1b949fffaf7bb8...,fb130956be0ed0d4...,rotate_right,{'shift': 7},3.4499999999999997,-0.14999999999999947,0.0,0.0,0.0
50,2025-11-06T01:31:33.318344,26b7a5574f653828...,8b1b949fffaf7bb8...,rotate_right,{'shift': 6},3.6000000000000005,-0.1500000000000008,0.0,0.0,0.0
