iteration,timestamp,state_id,parent_id,operation,params,cost,score,file_ideality_score,entropy_global,lz77_ratio
1,2025-11-06T16:22:51.913211,014cde4803176b83...,0c15e883dee85bb2...,rotate_right,{'shift': 1},1.2600000000000002,-1.2600000000000002,0.0,0.0,0.0
2,2025-11-06T16:22:51.919213,de5a8491e507ff44...,014cde4803176b83...,not_bytes,{},0.8400000000000001,0.42000000000000015,0.0,0.0,0.0
3,2025-11-06T16:22:51.926209,014cde4803176b83...,de5a8491e507ff44...,not_bytes,{},0.8800000000000001,-0.040000000000000036,0.0,0.0,0.0
4,2025-11-06T16:22:51.933207,de5a8491e507ff44...,014cde4803176b83...,not_bytes,{},0.96,-0.07999999999999985,0.0,0.0,0.0
5,2025-11-06T16:22:51.939204,4a2d29ead1dcbe79...,de5a8491e507ff44...,rotate_right,{'shift': 4},1.3860000000000001,-0.42600000000000016,0.0,0.0,0.0
6,2025-11-06T16:22:51.949198,72d05104f886f4fd...,4a2d29ead1dcbe79...,rotate_left,{'shift': 2},1.2600000000000002,0.1259999999999999,0.0,0.0,0.0
7,2025-11-06T16:22:51.957194,f26c3c316abe3675...,72d05104f886f4fd...,swap_nibbles,{},1.6800000000000002,-0.41999999999999993,0.0,0.0,0.0
8,2025-11-06T16:22:51.964192,e4c7428abc1bf9f4...,f26c3c316abe3675...,not_bytes,{},1.04,0.6400000000000001,0.0,0.0,0.0
9,2025-11-06T16:22:51.971188,f0045f599770aef1...,e4c7428abc1bf9f4...,rotate_left,{'shift': 1},1.3200000000000003,-0.28000000000000025,0.0,0.0,0.0
10,2025-11-06T16:22:51.978185,fac208429ff45822...,f0045f599770aef1...,swap_nibbles,{},1.8480000000000005,-0.5280000000000002,0.0,0.0,0.0
11,2025-11-06T16:22:51.985182,014cde4803176b83...,fac208429ff45822...,rotate_right,{'shift': 7},1.512,0.3360000000000005,0.0,0.0,0.0
12,2025-11-06T16:22:51.995177,5c8d9c5ba311b1aa...,014cde4803176b83...,rotate_left,{'shift': 5},1.44,0.07200000000000006,0.0,0.0,0.0
13,2025-11-06T16:22:52.006170,e4c7428abc1bf9f4...,5c8d9c5ba311b1aa...,rotate_left,{'shift': 5},1.5600000000000003,-0.12000000000000033,0.0,0.0,0.0
14,2025-11-06T16:22:52.013168,014cde4803176b83...,e4c7428abc1bf9f4...,rotate_left,{'shift': 6},1.6799999999999997,-0.11999999999999944,0.0,0.0,0.0
15,2025-11-06T16:22:52.022163,0c15e883dee85bb2...,014cde4803176b83...,rotate_right,{'shift': 7},1.5600000000000003,0.11999999999999944,0.0,0.0,0.0
16,2025-11-06T16:22:52.033158,dc47cc65318c2cc1...,0c15e883dee85bb2...,not_bytes,{},1.1199999999999999,0.4400000000000004,0.0,0.0,0.0
17,2025-11-06T16:22:52.044153,0c15e883dee85bb2...,dc47cc65318c2cc1...,not_bytes,{},1.5,-0.3800000000000001,0.0,0.0,0.0
18,2025-11-06T16:22:52.054149,5c8d9c5ba311b1aa...,0c15e883dee85bb2...,rotate_left,{'shift': 4},2.25,-0.75,0.0,0.0,0.0
19,2025-11-06T16:22:52.061146,2ab9c2f7828fdf66...,5c8d9c5ba311b1aa...,rotate_left,{'shift': 1},2.4000000000000004,-0.15000000000000036,0.0,0.0,0.0
20,2025-11-06T16:22:52.068142,72d05104f886f4fd...,2ab9c2f7828fdf66...,not_bytes,{},1.6,0.8000000000000003,0.0,0.0,0.0
21,2025-11-06T16:22:52.075139,f26c3c316abe3675...,72d05104f886f4fd...,swap_nibbles,{},2.016,-0.4159999999999999,0.0,0.0,0.0
22,2025-11-06T16:22:52.082135,cbc99a714b1698cf...,f26c3c316abe3675...,xor_constant,{'constant': 59},0.8400000000000001,1.176,0.0,0.0,0.0
23,2025-11-06T16:22:52.089132,13916e59fdfd44ae...,cbc99a714b1698cf...,xor_constant,{'constant': 19},0.8800000000000001,-0.040000000000000036,0.0,0.0,0.0
24,2025-11-06T16:22:52.095129,24fe5005f3d9ab78...,13916e59fdfd44ae...,swap_nibbles,{},2.1840000000000006,-1.3040000000000005,0.0,0.0,0.0
25,2025-11-06T16:22:52.104125,c4aef3f760898c75...,24fe5005f3d9ab78...,xor_constant,{'constant': 197},0.96,1.2240000000000006,0.0,0.0,0.0
26,2025-11-06T16:22:52.114120,c69293ea618e2962...,c4aef3f760898c75...,rotate_right,{'shift': 5},1.7639999999999998,-0.8039999999999998,0.0,0.0,0.0
27,2025-11-06T16:22:52.125115,e1b14d0da0775971...,c69293ea618e2962...,not_bytes,{},1.7000000000000002,0.06399999999999961,0.0,0.0,0.0
28,2025-11-06T16:22:52.135110,46fb87ea699bfbd5...,e1b14d0da0775971...,rotate_left,{'shift': 5},2.6775,-0.9775,0.0,0.0,0.0
29,2025-11-06T16:22:52.146104,c4aef3f760898c75...,46fb87ea699bfbd5...,not_bytes,{},1.8,0.8775000000000002,0.0,0.0,0.0
30,2025-11-06T16:22:52.156100,f17de59e4d9effc6...,c4aef3f760898c75...,swap_nibbles,{},2.352,-0.5519999999999998,0.0,0.0,0.0
31,2025-11-06T16:22:52.165094,c4aef3f760898c75...,f17de59e4d9effc6...,rotate_left,{'shift': 4},2.8350000000000004,-0.48300000000000054,0.0,0.0,0.0
32,2025-11-06T16:22:52.172090,46fb87ea699bfbd5...,c4aef3f760898c75...,not_bytes,{},1.9,0.9350000000000005,0.0,0.0,0.0
33,2025-11-06T16:22:52.179089,6295af7183710894...,46fb87ea699bfbd5...,swap_nibbles,{},3.1500000000000004,-1.2500000000000004,0.0,0.0,0.0
34,2025-11-06T16:22:52.188085,46fb87ea699bfbd5...,6295af7183710894...,swap_nibbles,{},3.3600000000000003,-0.20999999999999996,0.0,0.0,0.0
35,2025-11-06T16:22:52.198079,6295af7183710894...,46fb87ea699bfbd5...,swap_nibbles,{},3.5700000000000007,-0.2100000000000004,0.0,0.0,0.0
36,2025-11-06T16:22:52.204075,a5186f7ccb9bbd80...,6295af7183710894...,rotate_left,{'shift': 1},2.9924999999999997,0.577500000000001,0.0,0.0,0.0
37,2025-11-06T16:22:52.211072,b58cbc8a73ecfa1e...,a5186f7ccb9bbd80...,xor_constant,{'constant': 49},1.0920000000000003,1.9004999999999994,0.0,0.0,0.0
