iteration,timestamp,state_id,parent_id,operation,params,cost,score,file_ideality_score,entropy_global,lz77_ratio
1,2025-11-06T01:35:26.268184,0abda2a3f2e3a650...,0c15e883dee85bb2...,xor_constant,{'constant': 133},0.8400000000000001,-0.8400000000000001,0.0,0.0,0.0
2,2025-11-06T01:35:26.278177,530802db15b83ccc...,0abda2a3f2e3a650...,xor_constant,{'constant': 47},0.9240000000000003,-0.08400000000000019,0.0,0.0,0.0
3,2025-11-06T01:35:26.284174,746ca3cebb7e24d8...,530802db15b83ccc...,rotate_right,{'shift': 1},1.2600000000000002,-0.33599999999999997,0.0,0.0,0.0
4,2025-11-06T01:35:26.294170,9017472d01853c86...,746ca3cebb7e24d8...,not_bytes,{},0.8400000000000001,0.42000000000000015,0.0,0.0,0.0
5,2025-11-06T01:35:26.304165,746ca3cebb7e24d8...,9017472d01853c86...,not_bytes,{},0.8800000000000001,-0.040000000000000036,0.0,0.0,0.0
6,2025-11-06T01:35:26.315160,1b61e133e1fb5555...,746ca3cebb7e24d8...,rotate_right,{'shift': 5},1.3860000000000001,-0.506,0.0,0.0,0.0
7,2025-11-06T01:35:26.324157,1a88c4a2f08ae23e...,1b61e133e1fb5555...,rotate_left,{'shift': 7},1.2600000000000002,0.1259999999999999,0.0,0.0,0.0
8,2025-11-06T01:35:26.331152,8854260e0877be62...,1a88c4a2f08ae23e...,swap_nibbles,{},1.6800000000000002,-0.41999999999999993,0.0,0.0,0.0
9,2025-11-06T01:35:26.339149,530802db15b83ccc...,8854260e0877be62...,rotate_left,{'shift': 3},1.3200000000000003,0.3599999999999999,0.0,0.0,0.0
10,2025-11-06T01:35:26.350143,956b88650658f44b...,530802db15b83ccc...,xor_constant,{'constant': 51},1.008,0.3120000000000003,0.0,0.0,0.0
11,2025-11-06T01:35:26.360138,bb94ec6eb25aed2f...,956b88650658f44b...,rotate_right,{'shift': 1},1.512,-0.504,0.0,0.0,0.0
12,2025-11-06T01:35:26.371133,26bde4c3f10ce858...,bb94ec6eb25aed2f...,rotate_right,{'shift': 4},1.6380000000000003,-0.12600000000000033,0.0,0.0,0.0
13,2025-11-06T01:35:26.381130,abcf35beee1c230e...,26bde4c3f10ce858...,rotate_right,{'shift': 7},1.7639999999999998,-0.12599999999999945,0.0,0.0,0.0
14,2025-11-06T01:35:26.392125,09b16419105ee41c...,abcf35beee1c230e...,rotate_right,{'shift': 6},2.3625000000000003,-0.5985000000000005,0.0,0.0,0.0
15,2025-11-06T01:35:26.402120,4bbde926f8ef4f8b...,09b16419105ee41c...,not_bytes,{},1.008,1.3545000000000003,0.0,0.0,0.0
16,2025-11-06T01:35:26.412116,bd1f3d2e57576785...,4bbde926f8ef4f8b...,xor_constant,{'constant': 76},1.04,-0.03200000000000003,0.0,0.0,0.0
17,2025-11-06T01:35:26.421111,201d1277196c62ae...,bd1f3d2e57576785...,swap_nibbles,{},1.8480000000000005,-0.8080000000000005,0.0,0.0,0.0
18,2025-11-06T01:35:26.428108,f0045f599770aef1...,201d1277196c62ae...,xor_constant,{'constant': 93},1.1199999999999999,0.7280000000000006,0.0,0.0,0.0
19,2025-11-06T01:35:26.435105,fac208429ff45822...,f0045f599770aef1...,swap_nibbles,{},2.016,-0.8960000000000001,0.0,0.0,0.0
20,2025-11-06T01:35:26.446099,5c8d9c5ba311b1aa...,fac208429ff45822...,rotate_left,{'shift': 6},1.512,0.504,0.0,0.0,0.0
21,2025-11-06T01:35:26.456095,014cde4803176b83...,5c8d9c5ba311b1aa...,rotate_right,{'shift': 5},2.5200000000000005,-1.0080000000000005,0.0,0.0,0.0
22,2025-11-06T01:35:26.467088,18e7d1b343a7337b...,014cde4803176b83...,xor_constant,{'constant': 61},1.5,1.0200000000000005,0.0,0.0,0.0
23,2025-11-06T01:35:26.477085,aa9fcf52f135925b...,18e7d1b343a7337b...,rotate_right,{'shift': 6},2.6775,-1.1775000000000002,0.0,0.0,0.0
24,2025-11-06T01:35:26.488079,c3d61a0ef28ade25...,aa9fcf52f135925b...,not_bytes,{},1.04,1.6375000000000002,0.0,0.0,0.0
