iteration,timestamp,state_id,parent_id,operation,params,cost,score,file_ideality_score,entropy_global,lz77_ratio
1,2025-11-06T01:31:57.787531,5c8d9c5ba311b1aa...,0c15e883dee85bb2...,swap_nibbles,{},1.6800000000000002,-1.6800000000000002,0.0,0.0,0.0
2,2025-11-06T01:31:57.798526,067d62c1b5c0d40c...,5c8d9c5ba311b1aa...,xor_constant,{'constant': 133},0.8400000000000001,0.8400000000000001,0.0,0.0,0.0
3,2025-11-06T01:31:57.808521,3a9d498052686f06...,067d62c1b5c0d40c...,swap_nibbles,{},1.8480000000000005,-1.0080000000000005,0.0,0.0,0.0
4,2025-11-06T01:31:57.816518,42100bef60f69bbe...,3a9d498052686f06...,xor_constant,{'constant': 33},0.8800000000000001,0.9680000000000004,0.0,0.0,0.0
5,2025-11-06T01:31:57.823513,50bd251b08670d37...,42100bef60f69bbe...,rotate_left,{'shift': 3},1.2600000000000002,-0.3800000000000001,0.0,0.0,0.0
6,2025-11-06T01:31:57.830511,729cddfc65c51e4b...,50bd251b08670d37...,swap_nibbles,{},2.016,-0.7559999999999998,0.0,0.0,0.0
7,2025-11-06T01:31:57.837507,787bb13274a78784...,729cddfc65c51e4b...,xor_constant,{'constant': 24},0.96,1.056,0.0,0.0,0.0
8,2025-11-06T01:31:57.844504,02a019418d8d53d7...,787bb13274a78784...,swap_nibbles,{},2.1840000000000006,-1.2240000000000006,0.0,0.0,0.0
9,2025-11-06T01:31:57.851501,031538da878c6e27...,02a019418d8d53d7...,rotate_right,{'shift': 5},1.2600000000000002,0.9240000000000004,0.0,0.0,0.0
10,2025-11-06T01:31:57.862494,8185dd9b1ff683e9...,031538da878c6e27...,rotate_right,{'shift': 5},1.3200000000000003,-0.06000000000000005,0.0,0.0,0.0
11,2025-11-06T01:31:57.872491,439c7fb953849b37...,8185dd9b1ff683e9...,rotate_right,{'shift': 4},1.44,-0.11999999999999966,0.0,0.0,0.0
12,2025-11-06T01:31:57.883484,d268837791746db8...,439c7fb953849b37...,rotate_right,{'shift': 5},1.5600000000000003,-0.12000000000000033,0.0,0.0,0.0
13,2025-11-06T01:31:57.893481,8185dd9b1ff683e9...,d268837791746db8...,rotate_right,{'shift': 7},1.6799999999999997,-0.11999999999999944,0.0,0.0,0.0
14,2025-11-06T01:31:57.903476,06370e38491b30d1...,8185dd9b1ff683e9...,rotate_right,{'shift': 5},2.25,-0.5700000000000003,0.0,0.0,0.0
15,2025-11-06T01:31:57.913471,d268837791746db8...,06370e38491b30d1...,swap_nibbles,{},2.352,-0.10199999999999987,0.0,0.0,0.0
16,2025-11-06T01:31:57.920468,06370e38491b30d1...,d268837791746db8...,swap_nibbles,{},3.1500000000000004,-0.7980000000000005,0.0,0.0,0.0
17,2025-11-06T01:31:57.927465,d268837791746db8...,06370e38491b30d1...,rotate_right,{'shift': 4},2.4000000000000004,0.75,0.0,0.0,0.0
18,2025-11-06T01:31:57.934461,48be0c534b36c0c7...,d268837791746db8...,not_bytes,{},0.8400000000000001,1.5600000000000003,0.0,0.0,0.0
19,2025-11-06T01:31:57.941458,d268837791746db8...,48be0c534b36c0c7...,not_bytes,{},0.8800000000000001,-0.040000000000000036,0.0,0.0,0.0
20,2025-11-06T01:31:57.950452,27195714b56e2865...,d268837791746db8...,rotate_left,{'shift': 2},1.3860000000000001,-0.506,0.0,0.0,0.0
21,2025-11-06T01:31:57.960449,614c968c1b338efa...,27195714b56e2865...,not_bytes,{},0.96,0.42600000000000016,0.0,0.0,0.0
22,2025-11-06T01:31:57.971444,8ff89c09906bbc0d...,614c968c1b338efa...,xor_constant,{'constant': 247},1.0920000000000003,-0.13200000000000034,0.0,0.0,0.0
23,2025-11-06T01:31:57.981439,bedf3d992bf37f6a...,8ff89c09906bbc0d...,rotate_left,{'shift': 2},1.512,-0.4199999999999997,0.0,0.0,0.0
24,2025-11-06T01:31:57.991434,85942f0a2590c9cc...,bedf3d992bf37f6a...,swap_nibbles,{},3.3600000000000003,-1.8480000000000003,0.0,0.0,0.0
25,2025-11-06T01:31:58.000430,85ee0ea27324b19a...,85942f0a2590c9cc...,xor_constant,{'constant': 45},1.176,2.184,0.0,0.0,0.0
26,2025-11-06T01:31:58.012422,63fc391925d5e726...,85ee0ea27324b19a...,swap_nibbles,{},3.5700000000000007,-2.394000000000001,0.0,0.0,0.0
27,2025-11-06T01:31:58.023419,abcf35beee1c230e...,63fc391925d5e726...,not_bytes,{},1.04,2.5300000000000007,0.0,0.0,0.0
28,2025-11-06T01:31:58.031415,956b88650658f44b...,abcf35beee1c230e...,rotate_right,{'shift': 4},2.6775,-1.6375000000000002,0.0,0.0,0.0
29,2025-11-06T01:31:58.040411,936982861fce1ca7...,956b88650658f44b...,rotate_right,{'shift': 6},2.8350000000000004,-0.1575000000000002,0.0,0.0,0.0
30,2025-11-06T01:31:58.049406,abcf35beee1c230e...,936982861fce1ca7...,rotate_left,{'shift': 2},1.6380000000000003,1.197,0.0,0.0,0.0
31,2025-11-06T01:31:58.059401,936982861fce1ca7...,abcf35beee1c230e...,rotate_right,{'shift': 2},2.9924999999999997,-1.3544999999999994,0.0,0.0,0.0
32,2025-11-06T01:31:58.070394,ec191238e8386193...,936982861fce1ca7...,xor_constant,{'constant': 44},1.5,1.4924999999999997,0.0,0.0,0.0
